carbon_percent,chromium_percent,manganese_percent,silicon_percent,nickel_percent,cobalt_percent,molybdenum_percent,tungsten_percent,niobium_percent,aluminium_percent,phosphorous_percent,copper_percent,titanium_percent,tantalum_percent,hafnium_percent,rhenium_percent,vanadium_percent,boron_percent,nitrogen_percent,oxygen_percent,sulphur_percent,yield_strength,uts,elongation,reduction_area
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,847.64,1010.5,24.1,60.7
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,836,993,26,66
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,801,942,23,67
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,800,941,23,63
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,785,914,20,65
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,769,887,19,64
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,768,890,19.01,61
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,759,872,22,68
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,758,872,18.695,59
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,744,849,18,60
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,743,849,18.019,62
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,731,835,18,67
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,730,831,18.218,65
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,708,803,17,61
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,712,809,18.097,67
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,680,776,23,69
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,686,776,20.684,63
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,642,720,25,76
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,635,717,21.162,67
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,567,642,37,84
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,568,643,26.094,71
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,493.65,569.2,31.8,81.4
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,474,547,39,77
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,396.44,467.9,36.7,83.1
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,390,452,39,85
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,830,986,24,61
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,794,924,17.0418,55
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,763,877,20,65
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,754,859,17.92605,65
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,681,778,21,66
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,635,727,20.09646,71
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,477,554,27.09003,78
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,842.29,998.3,19.7,62.5
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,775,899,16.55949,60
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,743,851,19,63
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,740,832,15.65,63
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,718,811,15.93,55
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,690,783,17.0418,60
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,633,716,27,72
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,568,649,24.39711,74
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,479,550,26.48,79
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,385,447,42,89
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,810,948,18.12701,61
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,784,915,21,61
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,762,876,17.48392,66
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,734,829,17,62
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,720,816,16.07717,61
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,554,638,33,69
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,389,459,28.37621,84
0.15,9.99,0.42,0.12,0.21,1.51,1.33,0.53,0.049,0.014,0.001,0.003,0,0.28,0,0,0.199,0.0087,0.0221,0.0032,0.0058,764,885,21,67
0.15,9.99,0.42,0.12,0.21,1.51,1.33,0.53,0.049,0.014,0.001,0.003,0,0.28,0,0,0.199,0.0087,0.0221,0.0032,0.0058,699,806,18,59
0.15,9.99,0.42,0.12,0.21,1.51,1.33,0.53,0.049,0.014,0.001,0.003,0,0.28,0,0,0.199,0.0087,0.0221,0.0032,0.0058,466,542,39,83
